date,name,tier,lp,score
2025-01-06,날씨가너무덥네요#KR1,Platinum I,13,19.13
2025-01-06,날씨가너무덥네요#KR1,Platinum II,88,18.88
2025-01-06,날씨가너무덥네요#KR1,Platinum II,88,18.88
2025-01-06,날씨가너무덥네요#KR1,Platinum I,12,19.12
2025-01-08,날씨가너무덥네요#KR1,Platinum I,12,19.12
2025-01-08,날씨가너무덥네요#KR1,Platinum II,79,18.79
2025-01-08,날씨가너무덥네요#KR1,Platinum II,79,18.79
2025-01-08,날씨가너무덥네요#KR1,Platinum I,4,19.04
2025-01-10,날씨가너무덥네요#KR1,Platinum I,4,19.04
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Platinum I,29,19.29
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
2025-01-10,날씨가너무덥네요#KR1,Gold III,51,13.51
